region_id,iT,iC,Temperature (T),Cao,Ca,Cb,Cc,is_center
0,0,0,290.0,0.8666666666666667,0.8468895902985253,1.9604458472637172,0.05933122910442422,1
0,0,0,289.9999694824219,0.8666666746139526,0.8468896703568054,1.9604459914857055,0.05933101277144161,0
0,0,0,280.0,0.800000011920929,0.7949172818864143,1.9898345399309707,0.015248190103543677,0
0,0,0,280.0,0.9333332777023315,0.9274133387386411,1.988160122072619,0.01775981689107135,0
0,0,0,300.0,0.800000011920929,0.745137506268044,1.89027498869423,0.16458751695865503,0
0,0,0,300.0,0.9333332777023315,0.8703484871666498,1.8740304189286365,0.18895437160704492,0
1,0,1,290.0,1.0,0.9773125339687041,1.9546250679374082,0.06806239809388798,1
1,0,1,280.0,1.0666667222976685,1.0599123584379018,1.9864912722804668,0.02026309157929962,0
1,0,1,300.0,1.0666667222976685,0.9958086623308584,1.85828388006638,0.21257417990043004,0
2,0,2,290.0,1.1333333333333333,1.1077686351803606,1.9488706036940544,0.07669409445891856,1
2,0,2,289.9999694824219,1.1333333253860474,1.1077687198139723,1.9488707888558499,0.07669381671622516,0
2,0,2,280.0,1.0666667222976685,1.0599123584379018,1.9864912722804668,0.020263091579299848,0
2,0,2,280.0,1.2000000476837158,1.1924140275926047,1.9848279598177778,0.022758060273333103,0
2,0,2,300.0,1.0666667222976685,0.9958086623308584,1.85828388006638,0.21257417990043018,0
2,0,2,300.0,1.2000000476837158,1.1215044851006042,1.8430088748337767,0.23548668774933512,0
3,1,0,320.0,0.8666666666666667,0.6299524495992112,1.526571565865089,0.7101426512023667,1
3,1,0,300.0,0.800000011920929,0.745137506268044,1.89027498869423,0.164587516958655,0
3,1,0,300.0,0.9333332777023315,0.8703484871666498,1.8740304189286365,0.18895437160704492,0
3,1,0,340.0,0.800000011920929,0.42028634046151686,1.2405726570811757,1.1391410143782363,0
3,1,0,340.0,0.9333332777023315,0.5178586493668292,1.1690507433289954,1.246423885006507,0
4,1,1,320.0,1.0,0.739339870043878,1.478679740087756,0.781980389868366,1
4,1,1,300.0,1.0666667222976685,0.9958086623308584,1.85828388006638,0.21257417990043015,0
4,1,1,340.0,1.0666667222976685,0.6202750507640935,1.10721665693285,1.339175014600725,0
5,1,2,320.0,1.1333333333333333,0.8508296254060456,1.4349925841454245,0.8475111237818633,1
5,1,2,300.0,1.0666667222976685,0.9958086623308584,1.85828388006638,0.21257417990043015,0
5,1,2,300.0,1.2000000476837158,1.1215044851006042,1.8430088748337767,0.23548668774933512,0
