model,PINN
model_id,PINN2D_rxn1em05_mb0p001
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,1e-05
mu_mb,0.001
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,val
runs,1
run,1
seed,1
loss_type,PINN
rmse_total,0.16567528555052574
violation,9.236945716188515
violation_original_nonlinear,6.204631965423097
violation_rxn,12.21155951941203
violation_mb,0.19770441143416373
prediction_time_sec,0.00036877766251564026
